order_id,date,name,price,size,quantity
1,2019-02-27,NA,1.65,16 fl oz,1
1,2019-02-27,Salad,2.19,10 oz,1
1,2019-02-27,Salad,0.99,12 oz,2
1,2019-02-27,Casa Mamita Beef and Bean Burritos,2.99,8 x 8 x 4 oz,2
1,2019-02-27,Parkview Polska Kielbasa,2.55,14 oz,2
1,2019-02-27,Sausage,3.29,8 oz,2
1,2019-02-27,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,10.5 oz,4
1,2019-02-27,Fusia Chicken Fried Rice,3.85,22 oz,2
1,2019-02-27,Fusia Chicken Lo Mein,3.85,20 oz,2
1,2019-02-27,Bremer Garlic Chicken Skillet,3.65,21 oz,2
1,2019-02-27,Kirkwood Crispy Chicken Strips,5.49,25 oz,1
1,2019-02-27,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,9 oz,1
1,2019-02-27,Savoritz Thin Wheat Crackers,1.89,9.1 oz,1
1,2019-02-27,Savoritz Woven Whole Wheat Cracker,1.95,9 oz,1
1,2019-02-27,Hummus,2.55,10 oz,1
1,2019-02-27,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,64 fl oz,3
2,2019-03-06,Season's Choice Steamable Mediterranean Quinoa,3.29,12 oz,1
2,2019-03-06,Simply Nature Creamy Almond Butter,5.39,12 oz,1
2,2019-03-06,Savoritz Woven Whole Wheat Cracker,1.95,9 oz,1
2,2019-03-06,Fusia Chicken Lo Mein,3.85,20 oz,1
2,2019-03-06,Fusia Chicken Fried Rice,3.85,22 oz,1
2,2019-03-06,Brookdale Cooked Ham,3.29,16 oz,2
2,2019-03-06,Village Bakery Triple Chocolate Creme Cake,3.65,20 oz,1
2,2019-03-06,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,9 oz,1
2,2019-03-06,Bremer Garlic Chicken Skillet,3.65,21 oz,1
2,2019-03-06,Sausage,3.29,8 oz,1
2,2019-03-06,Hummus,2.55,10 oz,1
2,2019-03-06,Kirkwood Crispy Chicken Strips,5.49,25 oz,2
3,2019-03-06,Salisbury Steak Dinner,2.79,14 oz,2
3,2019-03-06,NA,1.5,2.1 oz,10
3,2019-03-06,Hungry-Man Boneless Fried Chicken Frozen Dinner,3.19,16 oz,1
3,2019-03-06,Marie Callender's Sweet And Sour Chicken Dinners,2.79,14 oz,2
3,2019-03-06,NA,6.99,6 x 6 x 2.4 oz,1
4,2019-03-16,Casa Mamita Beef and Bean Burritos,2.99,8 x 8 x 4 oz,1
4,2019-03-16,Southern Grove Pitted Dates,2.09,8 oz,1
4,2019-03-16,Benton's Cinnamon Graham Crackers,2.09,14.4 oz,1
4,2019-03-16,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,10.5 oz,2
4,2019-03-16,Sausage,3.29,8 oz,2
4,2019-03-16,Kirkwood Crispy Chicken Strips,5.49,25 oz,2
4,2019-03-16,Hummus,2.55,10 oz,1
4,2019-03-16,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,9 oz,1
4,2019-03-16,Bremer Garlic Chicken Skillet,3.65,21 oz,2
4,2019-03-16,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,64 fl oz,2
4,2019-03-16,Savoritz Woven Whole Wheat Cracker,1.95,9 oz,1
4,2019-03-16,Brookdale Cooked Ham,3.29,16 oz,2
4,2019-03-16,Season's Choice Steamable Mediterranean Quinoa,3.29,12 oz,3
4,2019-03-16,12 Grain Bread,2.09,24 oz,1
4,2019-03-16,Millville Oats and Honey Protein Crunchy Granola,3.29,11 oz,1
4,2019-03-16,NA,2.09,20 ct,1
5,2019-03-24,Fusia Chicken Lo Mein,3.85,20 oz,1
5,2019-03-24,Fusia Chicken Fried Rice,3.85,22 oz,2
5,2019-03-24,Sausage,3.29,8 oz,1
5,2019-03-24,Bremer Garlic Chicken Skillet,3.65,21 oz,2
5,2019-03-24,Savoritz Woven Whole Wheat Cracker,1.95,9 oz,2
5,2019-03-24,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,10.5 oz,2
5,2019-03-24,Hummus,2.55,10 oz,1
5,2019-03-24,Kirkwood Crispy Chicken Strips,5.49,25 oz,2
5,2019-03-24,Casa Mamita Beef and Bean Burritos,2.99,8 x 8 x 4 oz,2
5,2019-03-24,Season's Choice Steamable Mediterranean Quinoa,3.29,12 oz,1
5,2019-03-24,Parkview Polska Kielbasa,2.55,14 oz,1
5,2019-03-24,12 Grain Bread,2.09,24 oz,1
5,2019-03-24,Simply Nature Creamy Almond Butter,5.39,12 oz,1
6,2019-03-30,12 Grain Bread,2.09,24 oz,1
6,2019-03-30,Sausage,3.29,8 oz,2
6,2019-03-30,Hummus,2.55,10 oz,2
6,2019-03-30,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,10.5 oz,2
6,2019-03-30,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,9 oz,2
6,2019-03-30,Savoritz Woven Whole Wheat Cracker,1.95,9 oz,1
6,2019-03-30,Casa Mamita Beef and Bean Burritos,2.99,8 x 8 x 4 oz,1
6,2019-03-30,Kirkwood Crispy Chicken Strips,5.49,25 oz,2
6,2019-03-30,Bremer Garlic Chicken Skillet,3.65,21 oz,1
6,2019-03-30,Season's Choice Steamable Mediterranean Quinoa,3.29,12 oz,2
6,2019-03-30,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,64 fl oz,2
6,2019-03-30,Salad,0.99,12 oz,1
6,2019-03-30,Kirkwood Garlic and Herb Chicken Breast,7.69,40 oz,1
7,2019-04-06,Hummus,2.55,10 oz,2
7,2019-04-06,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,10.5 oz,2
7,2019-04-06,Savoritz Woven Whole Wheat Cracker,1.95,9 oz,2
7,2019-04-06,12 Grain Bread,2.09,24 oz,1
7,2019-04-06,NA,5.49,12 ct,1
7,2019-04-06,NA,2.19,2 ct,1
7,2019-04-06,NA,5.29,1 lb,1
7,2019-04-06,Eggs,1.35,12 ct,1
7,2019-04-06,Season's Choice Steamable Mediterranean Quinoa,3.29,12 oz,2
7,2019-04-06,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,10.5 oz,2
7,2019-04-06,Salad,2.09,5 oz,1
7,2019-04-06,Appleton Farms Premium Sliced Bacon,3.49,16 oz,1
7,2019-04-06,Southern Grove Cashew Halves and Pieces,5.19,12 oz,1
7,2019-04-06,Salad,1.35,8 oz,1
7,2019-04-06,Southern Grove Pitted Dates,2.09,8 oz,1
7,2019-04-06,Apples,4.39,2 lb,2
8,2019-04-15,12 Grain Bread,2.09,24 oz,1
8,2019-04-15,Sausage,3.29,12 oz,2
8,2019-04-15,NA,1.35,75 ct,1
