order_id,date,name,price,quantity,servings_per_container,calories,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,day(date)
1,2019-02-27,Salad,2.19,1,3,45,0,0,0,0,60,12,3,6,3,27
1,2019-02-27,Salad,0.99,2,3,90,0,0,0,0,120,24,6,12,6,27
1,2019-02-27,Casa Mamita Beef and Bean Burritos,2.99,2,8,5280,240,80,0,240,8000,624,64,16,144,27
1,2019-02-27,Parkview Polska Kielbasa,2.55,2,7,2380,210,70,0,490,7280,28,0,14,84,27
1,2019-02-27,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,27
1,2019-02-27,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,27
1,2019-02-27,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,4,1,1400,24,4,0,100,2040,188,24,24,64,27
1,2019-02-27,Fusia Chicken Fried Rice,3.85,2,1,440,12,2,0,90,1020,62,4,6,24,27
1,2019-02-27,Fusia Chicken Lo Mein,3.85,2,3,1140,9,0,0,90,4380,210,18,60,60,27
1,2019-02-27,Bremer Garlic Chicken Skillet,3.65,2,2.625,840,110.25,21,0,78.75,2362.5,110.25,15.75,15.75,840,27
1,2019-02-27,Kirkwood Crispy Chicken Strips,5.49,1,5,1585,66.5,12.5,0,210,5000,150,0,0,108.5,27
1,2019-02-27,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,1,8.25,1155,49.5,12.375,0,0,1650,173.25,24.75,0,24.75,27
1,2019-02-27,Savoritz Thin Wheat Crackers,1.89,1,8.9,1157,31.150000000000002,4.45,0,0,2047,195.8,26.700000000000003,35.6,17.8,27
1,2019-02-27,Savoritz Woven Whole Wheat Cracker,1.95,1,8.25,1155,49.5,12.375,0,0,1650,173.25,24.75,0,24.75,27
1,2019-02-27,Hummus,2.55,1,10,1100,70,5,0,0,2200,90,20,10,30,27
1,2019-02-27,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,3,8,720,60,0,0,0,4080,24,6,0,24,27
2,2019-03-06,Season's Choice Steamable Mediterranean Quinoa,3.29,1,2.4,360,10.799999999999999,1.2,0,0,1080,50.4,7.199999999999999,7.199999999999999,12,6
2,2019-03-06,Simply Nature Creamy Almond Butter,5.39,1,5.21,1979.8,177.14,10.42,0,0,677.3,72.94,31.259999999999998,20.84,62.519999999999996,6
2,2019-03-06,Savoritz Woven Whole Wheat Cracker,1.95,1,8.25,1155,49.5,12.375,0,0,1650,173.25,24.75,0,24.75,6
2,2019-03-06,Fusia Chicken Lo Mein,3.85,1,3,570,4.5,0,0,45,2190,105,9,30,30,6
2,2019-03-06,Fusia Chicken Fried Rice,3.85,1,1,220,6,1,0,45,510,31,2,3,12,6
2,2019-03-06,Brookdale Cooked Ham,3.29,2,8,1600,112,32,0,640,9920,8,0,8,144,6
2,2019-03-06,Village Bakery Triple Chocolate Creme Cake,3.65,1,10,2200,110,20,0,400,2000,290,5,200,30,6
2,2019-03-06,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,1,8.25,1155,49.5,12.375,0,0,1650,173.25,24.75,0,24.75,6
2,2019-03-06,Bremer Garlic Chicken Skillet,3.65,1,2.625,420,55.125,10.5,0,39.375,1181.25,55.125,7.875,7.875,420,6
2,2019-03-06,Sausage,3.29,1,8,400,20,8,0,200,1360,8,0,8,48,6
2,2019-03-06,Sausage,3.29,1,8,400,20,8,0,200,1360,8,0,8,48,6
2,2019-03-06,Hummus,2.55,1,10,1100,70,5,0,0,2200,90,20,10,30,6
2,2019-03-06,Kirkwood Crispy Chicken Strips,5.49,2,5,3170,133,25,0,420,10000,300,0,0,217,6
3,2019-03-06,Salisbury Steak Dinner,2.79,2,6,1920,132,48,0,360,8280,96,12,0,96,6
3,2019-03-06,Salisbury Steak Dinner,2.79,2,6,1920,132,48,0,360,8280,96,12,0,96,6
3,2019-03-06,Hungry-Man Boneless Fried Chicken Frozen Dinner,3.19,1,1,709,29,7,0,165,2160,86,6,30,34,6
3,2019-03-06,Marie Callender's Sweet And Sour Chicken Dinners,2.79,2,1,1000,28,5,0,60,1900,154,12,58,34,6
4,2019-03-16,Casa Mamita Beef and Bean Burritos,2.99,1,8,2640,120,40,0,120,4000,312,32,8,72,16
4,2019-03-16,Southern Grove Pitted Dates,2.09,1,5.6,604.8,0,0,0,0,22.4,151.2,16.799999999999997,152.32,7.279999999999999,16
4,2019-03-16,Benton's Cinnamon Graham Crackers,2.09,1,13.2,1716,39.599999999999994,0,0,0,1386,330,3.3,132,26.4,16
4,2019-03-16,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,2,1,700,12,2,0,50,1020,94,12,12,32,16
4,2019-03-16,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,16
4,2019-03-16,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,16
4,2019-03-16,Kirkwood Crispy Chicken Strips,5.49,2,5,3170,133,25,0,420,10000,300,0,0,217,16
4,2019-03-16,Hummus,2.55,1,10,1100,70,5,0,0,2200,90,20,10,30,16
4,2019-03-16,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,1,8.25,1155,49.5,12.375,0,0,1650,173.25,24.75,0,24.75,16
4,2019-03-16,Bremer Garlic Chicken Skillet,3.65,2,2.625,840,110.25,21,0,78.75,2362.5,110.25,15.75,15.75,840,16
4,2019-03-16,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,2,8,480,40,0,0,0,2720,16,4,0,16,16
