Hospital Name,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
BYRD REGIONAL HOSPITAL,LA,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BYRD REGIONAL HOSPITAL,LA,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BYRD REGIONAL HOSPITAL,LA,READM_30_COPD_HRRP,217,,1.0195,20.9722,20.5712,47,07/01/2014,06/30/2017
BYRD REGIONAL HOSPITAL,LA,READM_30_HF_HRRP,259,,1.0773,23.9788,22.2578,67,07/01/2014,06/30/2017
BYRD REGIONAL HOSPITAL,LA,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BYRD REGIONAL HOSPITAL,LA,READM_30_PN_HRRP,213,,1.1031,19.2445,17.4459,47,07/01/2014,06/30/2017
GRAND ITASCA CLINIC AND HOSPITAL,MN,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
GRAND ITASCA CLINIC AND HOSPITAL,MN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
GRAND ITASCA CLINIC AND HOSPITAL,MN,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0024,18.0061,17.9630,Not Available,07/01/2014,06/30/2017
GRAND ITASCA CLINIC AND HOSPITAL,MN,READM_30_HF_HRRP,75,,0.9726,19.6816,20.2355,13,07/01/2014,06/30/2017
GRAND ITASCA CLINIC AND HOSPITAL,MN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9761,4.4642,4.5734,Not Available,07/01/2014,06/30/2017
GRAND ITASCA CLINIC AND HOSPITAL,MN,READM_30_PN_HRRP,153,,0.9719,14.1502,14.5594,20,07/01/2014,06/30/2017
HARMON HOSPITAL,NV,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HARMON HOSPITAL,NV,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HARMON HOSPITAL,NV,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HARMON HOSPITAL,NV,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
